B11,B12,B2,B3,B4,B8,H2_pct,H2_ppm,OBJECTID,sid_vs_mean
2689.800,2072.000,6779.000,6329.000,6089.000,6118.000,13.800,N/A,4548.000,0.04898944021658257
2408.000,2198.000,7483.000,6825.000,6790.000,6668.000,17.900,N/A,4549.000,0.06992636049051149
2138.833,2139.000,7507.200,7204.000,7195.000,6946.000,27.400,N/A,4550.000,0.09087195734136605
2138.833,2139.000,7507.200,7204.000,7195.000,6946.000,20.100,N/A,4551.000,0.09087195734136605
2741.500,2509.600,7872.000,7388.000,7198.000,7102.000,17.600,N/A,4552.000,0.05815872132922022
2638.000,2479.000,2530.000,2376.000,2332.000,4246.000,36.000,N/A,4553.000,0.051876102267984094
2403.429,2394.125,7620.000,7232.083,7200.000,7127.500,21.400,N/A,4554.000,0.0705890630190216
2631.000,2352.000,4712.000,4295.000,4182.000,4714.000,26.400,N/A,4555.000,0.005199826598860992
2735.750,1954.625,919.750,1178.667,1302.000,3133.500,53.600,N/A,4556.000,0.27343272899840515
1956.000,1360.200,854.500,1045.600,1175.600,2520.444,37.700,N/A,4557.000,0.1822356525649397
2367.150,2082.833,5542.000,5144.800,5130.000,5528.000,35.200,N/A,4558.000,0.029793114238868847
2643.250,2384.000,4852.000,4460.000,4464.000,4966.000,90.600,N/A,4559.000,0.006246296797847668
2779.000,2429.250,4895.333,4626.000,4414.500,5278.000,12.000,N/A,4560.000,0.004897665299443986
2285.400,1511.400,691.938,953.440,1064.615,2912.250,38.400,N/A,4561.000,0.30644727758279694
2403.400,1770.571,827.350,1093.081,1469.852,2496.549,60.500,N/A,4562.000,0.23031410247621475
2593.143,2179.667,4891.000,4512.000,4356.000,4906.000,18.900,N/A,4563.000,0.009623259350755711
2573.500,2446.667,5221.333,4824.000,4816.000,5168.000,11.800,N/A,4564.000,0.0122302170590456
2666.000,2319.000,5068.000,4796.000,4510.000,4950.000,86.600,N/A,4565.000,0.010318695763574574
2470.667,2291.000,5028.000,4582.000,4424.000,4776.000,12.100,N/A,4568.000,0.012827963634377043
2647.500,2387.167,2688.000,2693.833,2954.000,3294.667,40.000,N/A,4570.000,0.021702501378840146
2805.400,2418.500,689.800,888.000,986.667,2866.000,56.000,N/A,4571.000,0.4545684016991497
2593.571,2193.500,7125.000,6640.000,6513.333,6692.000,81.200,N/A,4572.000,0.05544841189185521
3238.333,2682.500,1620.000,1882.000,2151.200,2920.667,16.300,N/A,4577.000,0.1515692051336754
3142.500,2527.000,2472.000,2614.000,2837.200,3520.000,40.000,N/A,4578.000,0.04648095858597222
2241.083,1961.000,4193.600,3920.000,3889.000,4434.667,31.900,N/A,4579.000,0.008312678126332108
2858.000,2504.000,4556.000,4204.000,4039.000,4602.000,24.200,N/A,4580.000,0.0023768314689215694
1754.167,1364.667,1931.500,1896.000,1772.750,2957.000,23.100,N/A,4581.000,0.01979758205733943
2323.625,2065.500,4914.667,4460.000,4385.333,4690.000,85.400,N/A,4582.000,0.017176402385418975
1699.833,1032.000,706.333,790.500,599.000,3106.250,18.600,N/A,4583.000,0.36525917156086435
2726.429,2292.333,5042.000,4797.000,4680.000,5036.000,15.900,N/A,4584.000,0.009572550101433507
2521.500,2193.250,1965.000,1864.000,1823.000,3537.600,22.200,N/A,4585.000,0.08447362288898022
3043.250,2443.667,5330.667,5016.000,4932.000,5269.333,56.900,N/A,4586.000,0.0074560110905107085
2736.000,2447.250,5171.200,4894.000,4908.000,5204.000,10.700,N/A,4587.000,0.00947950781705371
3216.143,3057.100,1736.500,1967.300,2114.552,2655.846,16.200,N/A,4588.000,0.16808940678231543
2207.125,1580.000,2307.000,2210.250,2137.500,3256.333,80.000,N/A,4589.000,0.017258464316268603
1912.500,1144.000,2802.500,2651.750,2587.500,3470.333,70.000,N/A,4590.000,0.013016567923392112
2205.900,1264.200,616.500,734.400,1086.333,3379.400,82.600,N/A,4591.000,0.38376175948087404
2175.688,1369.333,642.500,811.200,1115.000,3882.429,30.000,N/A,4592.000,0.39655141867349863
1788.333,1369.875,1568.000,1522.000,1544.000,3009.000,27.300,N/A,4593.000,0.05727636886741499
2904.000,2624.500,4042.000,3536.000,3602.000,4260.000,34.700,N/A,4595.000,0.005153453795020106
2309.667,1900.800,4194.000,3580.000,3205.000,4535.000,32.100,N/A,4598.000,0.010485337497574887
2285.400,1709.500,7400.000,7272.000,7190.667,6891.667,11.800,N/A,4599.000,0.10325037305518349
2547.800,2217.000,3341.500,3398.000,2886.000,4044.000,19.200,N/A,4600.000,0.005967057094181797
2059.312,1546.571,1200.667,1382.000,1346.667,4116.000,17.400,N/A,4602.000,0.1929932451560934
2248.800,2287.750,3086.000,3047.000,2946.000,3092.000,87.000,N/A,4603.000,0.010999777205575153
2063.333,1606.000,1497.000,1440.000,1191.333,3110.167,21.000,N/A,4604.000,0.12099228257127996
2767.000,2454.000,4684.000,4646.667,4588.000,5224.000,18.000,N/A,4605.000,0.0039972593321682785
2999.750,2382.667,4208.000,3905.000,3678.000,4484.000,22.300,N/A,4606.000,0.002189366237755841
2286.000,1669.000,3152.000,3040.000,2978.667,4571.667,56.500,N/A,4607.000,0.012343658827621581
3248.333,2418.500,3568.000,3502.000,3473.333,4016.000,15.800,N/A,4608.000,0.009811309003186856
2945.500,2480.000,2886.000,2602.000,2634.000,3616.000,30.000,N/A,4609.000,0.03314868671003589
3183.333,2707.000,4581.333,4452.000,4556.000,4846.000,28.000,N/A,4610.000,0.001314591917717925
3349.250,2546.000,4901.000,4442.000,4460.000,4974.000,30.000,N/A,4611.000,0.0023003521577126896
2997.333,2288.333,4496.000,4164.000,4188.000,4526.000,32.800,N/A,4612.000,0.002665852731502806
2980.167,2337.714,2555.500,2616.000,2472.000,3374.667,12.500,N/A,4613.000,0.04013314957349415
2992.333,2508.800,5667.333,5320.000,5418.400,5692.000,15.400,N/A,4614.000,0.011544966834831617
2787.667,2586.231,5072.000,4860.000,4766.667,5106.000,49.100,N/A,4615.000,0.006708468837189226
3392.875,2640.200,3163.000,3067.500,2886.000,4130.000,10.900,N/A,4616.000,0.03184607616080132
3548.625,2719.333,1691.000,1694.000,1990.000,3652.000,50.000,N/A,4617.000,0.18491578016259302
2480.500,2256.250,4064.000,3762.000,3352.000,4053.333,25.000,N/A,4618.000,0.004502411656720558
2348.000,2190.000,4692.000,4396.000,4288.000,4952.000,14.500,N/A,4619.000,0.011367956414307625
2415.500,2026.000,6307.750,6153.000,6169.333,5962.500,24.600,N/A,4620.000,0.053740841215711516
2224.800,1932.000,4566.000,3895.250,4026.000,4957.000,76.900,N/A,4621.000,0.015056128858316028
2092.000,1740.500,2285.500,2519.000,2643.000,2638.667,27.000,N/A,4622.000,0.010655715832783815
1996.000,1663.250,2299.500,2354.000,2406.833,2392.286,28.100,N/A,4623.000,0.011605934493014527
2547.000,2158.200,2246.333,2217.500,2316.500,2971.000,16.700,N/A,4624.000,0.03927173916244819
1803.000,1239.667,523.524,803.950,636.500,3089.000,15.400,N/A,4631.000,0.4235734071167511
1280.500,1100.000,757.000,791.500,731.250,876.500,14.700,N/A,4632.000,0.1681170236989764
2979.000,2212.000,4268.000,4176.000,3960.000,4844.000,30.000,N/A,4633.000,0.0016554089241780055
2681.917,2196.250,3808.000,3564.000,3397.000,4392.667,20.900,N/A,4634.000,0.0014321080851784876
2460.143,1956.600,4102.000,3784.000,3756.000,4461.333,14.200,N/A,4635.000,0.004033295349350935
3423.833,2907.500,2454.000,2527.500,2658.000,3265.500,17.200,N/A,4636.000,0.08070902931397295
3022.667,2398.500,6540.833,6204.000,6084.000,6398.000,97.800,N/A,4637.000,0.02707890424367775
2478.400,1834.125,5218.133,4964.800,4902.000,5537.000,57.600,N/A,4638.000,0.02847579722441513
2992.800,2396.000,5688.000,5333.333,5186.000,5689.667,10.700,N/A,4639.000,0.012618963429479945
2260.600,2134.167,4190.667,3936.000,3854.286,4435.636,28.000,N/A,4640.000,0.006249211049865392
2717.250,2565.000,5004.000,4593.333,4623.000,5074.000,54.000,N/A,4641.000,0.005957871825367521
3726.000,3318.800,1328.000,1600.516,2084.615,2646.800,98.000,N/A,4642.000,0.2866421094784306
