OBJECTID,latitude,longitude,Name,Data_Source,H2_pct,H2_ppm
2146,30.79660000000006,-100.91679999999997,"50359","Brennan, S. T., Rivera, J. L., Creitz, R. H., Carela, B., & Park, A. J. (2021). Natural Gas Compositional Analyses Dataset of Gases from United States Wells (U.S. Geological Survey data release). USGS. https://doi.org/10.5066/P9TR93E3",17.9,null
2301,35.579077000000034,-100.21442399999995,"41438","Brennan, S. T., Rivera, J. L., Creitz, R. H., Carela, B., & Park, A. J. (2021). Natural Gas Compositional Analyses Dataset of Gases from United States Wells (U.S. Geological Survey data release). USGS. https://doi.org/10.5066/P9TR93E3",1,null
2317,30.90320000000002,-100.15989999999994,"48757","Brennan, S. T., Rivera, J. L., Creitz, R. H., Carela, B., & Park, A. J. (2021). Natural Gas Compositional Analyses Dataset of Gases from United States Wells (U.S. Geological Survey data release). USGS. https://doi.org/10.5066/P9TR93E3",1.1,null
2420,34.005300000000034,-99.53659999999996,"38174","Brennan, S. T., Rivera, J. L., Creitz, R. H., Carela, B., & Park, A. J. (2021). Natural Gas Compositional Analyses Dataset of Gases from United States Wells (U.S. Geological Survey data release). USGS. https://doi.org/10.5066/P9TR93E3",1.9,null
2450,36.352543800000035,-99.43201199999999,"47490","Brennan, S. T., Rivera, J. L., Creitz, R. H., Carela, B., & Park, A. J. (2021). Natural Gas Compositional Analyses Dataset of Gases from United States Wells (U.S. Geological Survey data release). USGS. https://doi.org/10.5066/P9TR93E3",6.6,null
2500,29.159900000000043,-99.31269999999995,"46154","Brennan, S. T., Rivera, J. L., Creitz, R. H., Carela, B., & Park, A. J. (2021). Natural Gas Compositional Analyses Dataset of Gases from United States Wells (U.S. Geological Survey data release). USGS. https://doi.org/10.5066/P9TR93E3",4.6,null
2627,37.401742600000034,-99.04337179999999,"38491","Brennan, S. T., Rivera, J. L., Creitz, R. H., Carela, B., & Park, A. J. (2021). Natural Gas Compositional Analyses Dataset of Gases from United States Wells (U.S. Geological Survey data release). USGS. https://doi.org/10.5066/P9TR93E3",1.4,null
2656,38.326487400000076,-99.00464839999995,"38590","Brennan, S. T., Rivera, J. L., Creitz, R. H., Carela, B., & Park, A. J. (2021). Natural Gas Compositional Analyses Dataset of Gases from United States Wells (U.S. Geological Survey data release). USGS. https://doi.org/10.5066/P9TR93E3",1.4,null
2812,26.420500000000054,-98.48169999999999,"48697","Brennan, S. T., Rivera, J. L., Creitz, R. H., Carela, B., & Park, A. J. (2021). Natural Gas Compositional Analyses Dataset of Gases from United States Wells (U.S. Geological Survey data release). USGS. https://doi.org/10.5066/P9TR93E3",8.1,null
2936,33.43910000000005,-98.01119999999997,"39761","Brennan, S. T., Rivera, J. L., Creitz, R. H., Carela, B., & Park, A. J. (2021). Natural Gas Compositional Analyses Dataset of Gases from United States Wells (U.S. Geological Survey data release). USGS. https://doi.org/10.5066/P9TR93E3",1.1,null
3055,26.648200000000028,-97.47429999999997,"49601","Brennan, S. T., Rivera, J. L., Creitz, R. H., Carela, B., & Park, A. J. (2021). Natural Gas Compositional Analyses Dataset of Gases from United States Wells (U.S. Geological Survey data release). USGS. https://doi.org/10.5066/P9TR93E3",2.2,null
3158,38.81823600000007,-96.79648139999995,"Scott 1","Goebel, E. D., Coveney, R. M. J., Angino, E. E., Zeller, E. J., & Dreschhoff, G. A. M. (1984). Geology, composition, isotopes of naturally occurring H2/N2 rich gas from wells near Junction City, Kansas. Oil & Gas Journal, 82(19), 215–222.",56,null
3160,38.886472800000035,-96.74450169999993,"Gas, CFA Oil Company 1 Heins Well, July 20, 1984","Coveney, R. M., Jr, Goebel, E. D., Zeller, E. J., Dreschhoff, G. A. M., & Angino, E. E. (1987). Serpentinization and the Origin of Hydrogen Gas in Kansas. AAPG Bulletin, 71. https://doi.org/10.1306/94886d3f-1704-11d7-8645000102c1865d",80,null
3178,36.31250700000003,-96.61701129999994,"52095","Brennan, S. T., Rivera, J. L., Creitz, R. H., Carela, B., & Park, A. J. (2021). Natural Gas Compositional Analyses Dataset of Gases from United States Wells (U.S. Geological Survey data release). USGS. https://doi.org/10.5066/P9TR93E3",1,null
3194,39.16045950000005,-96.44394469999997,"Sue Duroche 2","Guélard, J., Beaumont, V., Rouchon, V., Guyot, F., Pillot, D., Jézéquel, D., Ader, M., Newell, K. D., & Deville, E. (2017). Natural H2 in Kansas: Deep or shallow origin? Geochemistry, Geophysics, Geosystems, 18(5), 1841–1865. https://doi.org/10.1002/2016g",91.8,null
3227,31.820000000000043,-96.30379999999997,"39905","Brennan, S. T., Rivera, J. L., Creitz, R. H., Carela, B., & Park, A. J. (2021). Natural Gas Compositional Analyses Dataset of Gases from United States Wells (U.S. Geological Survey data release). USGS. https://doi.org/10.5066/P9TR93E3",3.2,null
3266,34.77479670000002,-96.11549599999995,"53011","Brennan, S. T., Rivera, J. L., Creitz, R. H., Carela, B., & Park, A. J. (2021). Natural Gas Compositional Analyses Dataset of Gases from United States Wells (U.S. Geological Survey data release). USGS. https://doi.org/10.5066/P9TR93E3",1.12,null
3339,39.927615100000025,-95.54499549999998,"Wilson 1","Newell, K. D., Doveton, J. H., Merriam, D. F., Sherwood Lollar, B., Waggoner, W. M., & Magnuson, L. M. (2007). H2-rich and Hydrocarbon Gas Recovered in a Deep Precambrian Well in Northeastern Kansas. Natural Resources Research, 16(3), 277–292. https://doi",17.2,null
3427,35.23741890000007,-94.68384349999997,"38875","Brennan, S. T., Rivera, J. L., Creitz, R. H., Carela, B., & Park, A. J. (2021). Natural Gas Compositional Analyses Dataset of Gases from United States Wells (U.S. Geological Survey data release). USGS. https://doi.org/10.5066/P9TR93E3",2.4,null
3519,42.63549461000007,-94.04073998799998,"Hofmann No. 3","Moore, B. J., & Sigler, S. (1987). Analyses of Natural Gases, 1917-85. Bureau of Mines Information Circular, 9129, 1197 pp.",96.3,null
3534,42.623327424000074,-94.00099771999999,"Willey No.1","Moore, B. J., & Sigler, S. (1987). Analyses of Natural Gases, 1917-85. Bureau of Mines Information Circular, 9129, 1197 pp.",33.7,null
3730,32.05371000000003,-90.06582999999993,"89465","Brennan, S. T., Rivera, J. L., Creitz, R. H., Carela, B., & Park, A. J. (2021). Natural Gas Compositional Analyses Dataset of Gases from United States Wells (U.S. Geological Survey data release). USGS. https://doi.org/10.5066/P9TR93E3",1.04,null
3738,13.92594899900007,-89.84113799999994,"Ahuachapan, 40","Zgonnik, V. (2020). The occurrence and geoscience of natural hydrogen: A comprehensive review. Earth-Science Reviews, 203, 103140. https://doi.org/10.1016/j.earscirev.2020.103140",40,null
3759,31.448470000000032,-88.38166999999999,"89483","Brennan, S. T., Rivera, J. L., Creitz, R. H., Carela, B., & Park, A. J. (2021). Natural Gas Compositional Analyses Dataset of Gases from United States Wells (U.S. Geological Survey data release). USGS. https://doi.org/10.5066/P9TR93E3",1.74,null
3789,37.730362900000046,-87.14610059999995,"51560","Brennan, S. T., Rivera, J. L., Creitz, R. H., Carela, B., & Park, A. J. (2021). Natural Gas Compositional Analyses Dataset of Gases from United States Wells (U.S. Geological Survey data release). USGS. https://doi.org/10.5066/P9TR93E3",4.6,null
3823,36.25990990000002,-84.94150679999996,"51441","Brennan, S. T., Rivera, J. L., Creitz, R. H., Carela, B., & Park, A. J. (2021). Natural Gas Compositional Analyses Dataset of Gases from United States Wells (U.S. Geological Survey data release). USGS. https://doi.org/10.5066/P9TR93E3",1.2,null
3841,36.16853510000004,-84.58655129999993,"40967","Brennan, S. T., Rivera, J. L., Creitz, R. H., Carela, B., & Park, A. J. (2021). Natural Gas Compositional Analyses Dataset of Gases from United States Wells (U.S. Geological Survey data release). USGS. https://doi.org/10.5066/P9TR93E3",1.1,null
3861,42.267750905000064,-83.83623815799997,"7, private well, J. Polasky 1, Washtenaw Country, drift gas","Newcombe, R. B. (1935). Natural gas fields of Michigan. AAPG Special Publications, 7, 787–812.",26,null
3869,42.20088712800003,-83.48451062699995,"6, Straight Greenhouse, Belleville, Eayne Country, drift gas","Newcombe, R. B. (1935). Natural gas fields of Michigan. AAPG Special Publications, 7, 787–812.",25.6,null
4042,48.475725849000064,-81.33047933599994,"KC6298","Sherwood Lollar, B., Voglesonger, K., Lin, L.-H., Lacrampe-Couloume, G., Telling, J., Abrajano, T. A., Onstott, T. C., & Pratt, L. M. (2007). Hydrogeologic Controls on Episodic H2 Release from Precambrian Fractured Rocks–Energy for Deep Subsurface Life on",12.7,null
4058,46.48999998700003,-81.01000000599998,"CS104577","Sherwood Lollar, B., Voglesonger, K., Lin, L.-H., Lacrampe-Couloume, G., Telling, J., Abrajano, T. A., Onstott, T. C., & Pratt, L. M. (2007). Hydrogeologic Controls on Episodic H2 Release from Precambrian Fractured Rocks–Energy for Deep Subsurface Life on",57.8,null
4211,42.02673900000007,-78.32236999999998,"40656","Brennan, S. T., Rivera, J. L., Creitz, R. H., Carela, B., & Park, A. J. (2021). Natural Gas Compositional Analyses Dataset of Gases from United States Wells (U.S. Geological Survey data release). USGS. https://doi.org/10.5066/P9TR93E3",1,null
